author,content
方展博v,俄与美欧乌智力博弈，局势动荡，股市承受压力，弱势表现，刀口舔血，个股不好把握。隔夜外盘：欧美股市集体收跌纳指跌超1%热门中概股普遍走低O隔夜外盘：欧美股市集体收跌纳指跌超1%热门中概股普遍走低
吴和平医生13638380448,《乌克兰局势普京下令接收乌东部居民进入俄境内》海量视频搜索，尽在百度O网页链接
泰国头条新闻,【乌克兰驻泰大使馆向泰国求助：阻止乌俄冲突，将俄罗斯带到谈判桌上】#泰国时政头条#泰国头条新闻社讯近期，俄罗斯与乌克兰在边境的对峙局势日趋紧张。2月18日，乌克兰驻泰国大使馆发布一篇题为“此时乌克兰边境的稳定局势”的新闻，主旨为由于俄罗斯政府的挑衅，因此呼吁泰国政府帮助阻止乌克兰境内的冲突。文中内容如下：目前对乌克兰来说是至关重要的日子，泰国作为乌克兰的友好双边伙伴，呼吁泰国政府使用一切适当的政治和外交手段，防止由于俄罗斯政府和军队的挑衅而导致乌克兰境内武装冲突升级，迫使俄罗斯避免实施入侵计划。此外，乌克兰驻泰国大使馆还表示，还有解决办法是，基于谈判和外交，俄罗斯必须被迫走这条路，泰国为此发声将是重要而强大的，不会被忽视。#俄罗斯乌克兰#（来源：matichon；编译：wan）O网页链接
小浪同学爱吐槽,【俄罗斯为啥“必须”入侵乌克兰？美国前国会议员说了大实话】#美前议员称拜登想让俄罗斯入侵乌克兰#美国前国会众议员、美国2020年总统选举民主党竞选人图尔西加巴德，近日在接受福克斯新闻采访时表示，美国总统拜登只要保证不接纳乌克兰加入北约，就可以结束此次俄乌危机，阻止爆发战争，但他们不这样做。图尔西直言，一是因为一旦俄乌爆发战争，美国将有明确的借口向俄罗斯实施严厉制裁；二是因为控制着拜登政府的军工复合体将因战争赚得盆满钵满，而为此出钱的则是美、俄、乌的民众。@观察者网#俄乌局势引发美股市场恐慌#L观察者网微丢视频的微博视频
头条博客,【俄罗斯为啥“必须”入侵乌克兰？美国前国会议员说了大实话】#美前议员称拜登想让俄罗斯入侵乌克兰#美国前国会众议员、美国2020年总统选举民主党竞选人图尔西加巴德，近日在接受福克斯新闻采访时表示，美国总统拜登只要保证不接纳乌克兰加入北约，就可以结束此次俄乌危机，阻止爆发战争，但他们不这样做。图尔西直言，一是因为一旦俄乌爆发战争，美国将有明确的借口向俄罗斯实施严厉制裁；二是因为控制着拜登政府的军工复合体将因战争赚得盆满钵满，而为此出钱的则是美、俄、乌的民众。@观察者网#俄乌局势引发美股市场恐慌#L观察者网微丢视频的微博视频
吾爱吐槽,【俄罗斯为啥“必须”入侵乌克兰？美国前国会议员说了大实话】#美前议员称拜登想让俄罗斯入侵乌克兰#美国前国会众议员、美国2020年总统选举民主党竞选人图尔西加巴德，近日在接受福克斯新闻采访时表示，美国总统拜登只要保证不接纳乌克兰加入北约，就可以结束此次俄乌危机，阻止爆发战争，但他们不这样做。图尔西直言，一是因为一旦俄乌爆发战争，美国将有明确的借口向俄罗斯实施严厉制裁；二是因为控制着拜登政府的军工复合体将因战争赚得盆满钵满，而为此出钱的则是美、俄、乌的民众。@观察者网#俄乌局势引发美股市场恐慌#L观察者网微丢视频的微博视频
新浪新闻,【俄罗斯为啥“必须”入侵乌克兰？美国前国会议员说了大实话】#美前议员称拜登想让俄罗斯入侵乌克兰#美国前国会众议员、美国2020年总统选举民主党竞选人图尔西加巴德，近日在接受福克斯新闻采访时表示，美国总统拜登只要保证不接纳乌克兰加入北约，就可以结束此次俄乌危机，阻止爆发战争，但他们不这样做。图尔西直言，一是因为一旦俄乌爆发战争，美国将有明确的借口向俄罗斯实施严厉制裁；二是因为控制着拜登政府的军工复合体将因战争赚得盆满钵满，而为此出钱的则是美、俄、乌的民众。@观察者网#俄乌局势引发美股市场恐慌#L观察者网微丢视频的微博视频
Qing,【俄罗斯为啥“必须”入侵乌克兰？美国前国会议员说了大实话】#美前议员称拜登想让俄罗斯入侵乌克兰#美国前国会众议员、美国2020年总统选举民主党竞选人图尔西加巴德，近日在接受福克斯新闻采访时表示，美国总统拜登只要保证不接纳乌克兰加入北约，就可以结束此次俄乌危机，阻止爆发战争，但他们不这样做。图尔西直言，一是因为一旦俄乌爆发战争，美国将有明确的借口向俄罗斯实施严厉制裁；二是因为控制着拜登政府的军工复合体将因战争赚得盆满钵满，而为此出钱的则是美、俄、乌的民众。@观察者网#俄乌局势引发美股市场恐慌#L观察者网微丢视频的微博视频
中华义勇军召集人,俄乌局势，预测靠谱我记得在微博也发了这个信息，而且是先于微信发的。怎么现在连个踪影都找不到了？@微博管理员
小北的2013,快转微博
大脚板雪糕的瓜娃子,快转微博
流尼汪,快转微博
咩咩杨6668888,快转微博
琦wysq,吹牛逼老杂毛
冀州野山楂,快转微博
wooser_black,"原来拜登头发都没有多少了<img alt=""[傻眼]"" title=""[傻眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/dd/2018new_shayan_org.png"" />"
陆锡鑫,看人家拜登总统多有礼貌，慌不择路要开溜，也不忘“Thank  you！”
ClostridiumZ,"憋不住了主要是<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
VIP中的PPT,你们还有强大的造谣能力！
xa_lzx,本来是想蒙蒙美国选民的，不曾想会被记者追问证据。若要有证据，那还能蒙人吗？这个记者哪壶不开提哪壶，这不是抽拜登的脸吗？
严重执著,"本性暴露无遗！<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />"
大汉老农,"别问了，再问老脸兜不住稀了。<img alt=""[照相机]"" title=""[照相机]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/78/2018new_xiangji_org.png"" />"
李辉看世界,是强大假情报制造能力
专治特没谱儿,"有强大的吹水和撒谎能力<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />"
鬼斗6270,奉劝美国少放些烟雾弹！
guoke0511,"证据吗？去买一袋洗衣粉就有了。<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
苔藓不太绿,"还没怎么打呢就已经有人被俘虏了啊<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />"
JEsSica晴er,俄罗斯没打，它倒是自己打起来了
维克多·雷泽诺夫,支持乌克兰早日收复失地，消灭境外势日支持的分裂势力。
曰天睡眠不足中,开局右上角就是那个闪光灯的街口吗？
将像驹炮兵,"一直要看这个到18：00吗<img alt=""[衰]"" title=""[衰]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a2/2018new_shuai_org.png"" />"
江南飞雪JNFX,呵，真打起来了吗
追真018,边境通过大巴过来几万妇幼，偷偷运过去几万精锐部队。 然后撤军，让乌克兰徐东部激战，让东部两省借助俄罗斯志愿军拿回失地！ 让乌克兰和西方都无话可说[龇牙]
风过无痕lxj,转发微博
Sevenyritch,打得都是希腊裔吧？这帮犹太纳粹也真的是恶心人
闪闪发光的狗头少女,"我以为乌克兰还要开直播<img alt=""[单身狗]"" title=""[单身狗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/2021_alongdog_org.png"" />"
小静7705469054,我不喜欢看这个女主持主持的某一档假话节目
李俊佬师,事情闹得越大，越难在爆发更严重的局势
股市十三姨,好久没有给大家说军工板块，谈谈军工板块接下来有没有机会？军工板块应该说调整时间不短了，从去年12月份一直下跌到本波指数低点，最近有一点反弹！有没有趋势反弹呢？个人看法近期军工要走大趋势行情比较难？第一时间节点上目前感觉没有政治性的刺激，虽然俄乌局势紧张，但是感觉跟我们不同频！第二技术上量能没有有效放大，趋势还在空头一方！第三我觉得机会点应该在两会后，因为这个会一定有强军目标！当然如果想做左侧的可以战略性布局一点，当成主线做待商榷！大家怎么看？以上观点供参考
耿逍遥2013,中国方面对于俄乌局势的态度，不令美英两国讨喜，因此约翰逊只好旁敲侧击着试图让中国入局。可眼看中国入不了局，不上套，于是只好用一种迂回的方式，试图在国际上营造一种假象——中国对俄乌局势这么大的国际问题不关心…O网页链接
Ronaldo-MAX,原油交易逻辑：OPEC+实际增产不及预期；原油市场供给缺乏弹性；美国1月CPI继续创下新高，继续推升成品油裂解走强风险因素：伊核协议谈判略现松动，伊朗原油回归可能性上升；美联储大幅加息的预期有所升温；油价高企抑制需求关注事件：俄乌局势、伊朗核协议谈判、EIA原油周报#期货##原油#
Eric游资之路,我们只卖货，不出手，所以你们赶紧打！【拜登确认如冲突升级不会出兵乌克兰】财联社2月19日电，据俄罗斯卫星通讯社，美国总统拜登18日确认，如果乌克兰冲突升级，美国不会派兵到乌克兰作战。他在白宫就俄乌局势发表讲话说：“我们不会派遣自己的军队到乌克兰作战，但我们将继续支持乌克兰和乌克兰人民。”
老姜说期,原油交易逻辑：OPEC+实际增产不及预期；原油市场供给缺乏弹性；美国1月CPI继续创下新高，继续推升成品油裂解走强风险因素：伊核协议谈判略现松动，伊朗原油回归可能性上升；美联储大幅加息的预期有所升温；油价高企抑制需求关注事件：俄乌局势、伊朗核协议谈判、EIA原油周报#期货##财经#
时空舞者-,豆粕交易逻辑：南美大豆产量有进一步缩减的可能；油厂豆粕成交有所增加；俄乌局势升级风险因素：豆粕需求不及预期；市场传3、4月份抛储大豆关注事件：南美天气情况；油厂开机情况；俄乌局势；2022年度USDA农业展望论坛#期货#
仁者乐兽,//分享网易新闻:《美股一线｜俄乌局势缓和美股结束三连跌，道指涨超420点，油价跌逾3%》O美股一线｜俄乌局势缓和美股结束三连跌，道指涨超420点，油价跌逾3%@网易新闻客户端#网易新闻#
大山里的味道123,#联合国秘书长古特雷斯呼吁各方缓和乌克兰紧张局势#俄乌冲突#乌克兰局势#国际#新闻#最新消息L大山里的味道123的微博视频
秀木雨林,美股再度收跌，纳指跌超百分之一，受俄乌局势发展影响，本周美股表现动荡。美联储三把手暗示三月无五十个基点加息，热门中概股周五收盘普跌，知乎跌超百分之十二，哔哩哔哩跌超百分之六。
京津冀之声FM1006,【继17日发布讲话后，拜登再渲染“入侵”。美媒：#拜登称确信俄罗斯决定入侵乌克兰#】”美国《国会山报》报道称，美国总统拜登当地时间18日在白宫再就俄乌局势发表讲话时声称，他相信俄总统普京已下定决心推进“入侵乌克兰”这一计划。报道称，拜登在白宫对记者说：“从这一刻起，我确信他（普京）已经做出了这样的决定。我们有理由相信这一点。”“你确信普京总统要入侵乌克兰。你刚才是这么说的吗?”随后不久一名记者追问道。“是的，我是这么说的。”拜登还声称，若莫斯科选择缓和紧张局势，那么外交手段仍然可行。此外，他还在讲话中表示俄罗斯军队正计划并打算在未来几周甚至几天内“攻击”乌克兰，并声称“俄罗斯的目标就是乌克兰的首都基辅”。近日美国政客不断煽风点火，全然不顾俄罗斯已宣布从俄乌边境撤军的事实。就在17日，美国总统拜登曾在白宫表示，莫斯科“入侵”的威胁“非常高”，“我们掌握的种种迹象都显示，他们准备进入乌克兰、攻击乌克兰”。而在18日拉开帷幕的慕尼黑安全会议上，美国国务卿布林肯也作出类似表态。他表示，在过去24至48小时内，俄罗斯已经开始“制造虚假挑衅”，试图为攻击乌克兰找到借口。而面对美方论调，俄罗斯方面已多次予以驳斥。俄罗斯总统新闻秘书佩斯科夫日前表示，有关俄罗斯可能于近日进攻乌克兰的说法，包括美国总统拜登所言，都是在制造紧张气氛。俄外长拉夫罗夫18日接受“今日俄罗斯”电视台专访时表示：“我确信，就连非专业的外交政策观察人士都认为，这一切是宣传活动、虚假新闻和凭空捏造。”L环视频的微博视频
中国商界杂志社,【#俄乌局势引发美股市场恐慌##Facebook母公司股价从峰值下跌45%#】近日，俄乌局势持续紧张加剧了美股投资者的恐慌情绪。当地时间周五，美股三大指数集体下跌，截止收盘，纳指跌1.23%，报13548.07点；标普500指数跌0.72%，报4348.87点；道指跌0.68%，报34079.18点。当天个股方面，英伟达跌超3%，特斯拉、波音跌逾2%。热门中概股多数下挫，哔哩哔哩、蔚来汽车、拼多多跌超6%，滴滴、百度跌逾5%。值得注意的是，美国社交媒体巨头Facebook的母公司Meta在周四的时候股价大跌4.08%，使其跌出了全球市值最大的前10家公司之列。本月早些时候，Meta曾单日暴跌26%，市值一天蒸发近2400亿美元，创下了美国历史上股票市场最大单日跌幅。本周五截至收盘Meta再跌0.75%至206.16美元，Meta股价较去年9月的峰值下跌了45%以上。@中国日报L中国日报的微博视频
薛狼看盘A,军工板块应该说调整时间不短了，从去年12月份一直下跌到本波指数低点，最近有一点反弹！有没有趋势反弹呢？个人看法近期军工要走大趋势行情比较难？第一时间节点上目前感觉没有政治性的刺激，虽然俄乌局势紧张，但是感觉跟我们不同频！第二技术上量能没有有效放大，趋势还在空头一方！第三我觉得机会点应该在两会后，因为这个会一定有强军目标！当然如果想做左侧的可以战略性布局一点，当成主线做待商榷！老铁们怎么看？以上观点供参考
红杉析市,好久没有给大家说军工板块，谈谈军工板块接下来有没有机会？军工板块应该说调整时间不短了，从去年12月份一直下跌到本波指数低点，最近有一点反弹！有没有趋势反弹呢？个人看法近期军工要走大趋势行情比较难？第一时间节点上目前感觉没有政治性的刺激，虽然俄乌局势紧张，但是感觉跟我们不同频！第二技术上量能没有有效放大，趋势还在空头一方！第三我觉得机会点应该在两会后，因为这个会一定有强军目标！当然如果想做左侧的可以战略性布局一点，当成主线做待商榷！老铁们怎么看？以上观点供参考#股票##财经#
币圈潇神,俄乌局势动荡上蹿下跳，比特币能否有效筑底上冲？具体上车机会，切看视频讲解！L币圈潇神的微博视频
大象军视,新的卫星图像显示，位于乌克兰边境以北30英里的白俄罗斯Luninets机场的32架Su-25地面攻击机、直升机、一个S-400防空部队、地面部队设备和无人机/无人机部队（从2月14日开始）。另外，最后两图：一架由至少50架直升机组成的大型新直升机群部署抵达白俄罗斯西北部的利达机场。2月16日拍摄的图像。#俄乌局势#
w水太深,转发
财联社APP,【美国防长：不认为侵略乌克兰的可能性是“虚张声势”】财联社2月19日电，据俄罗斯卫星通讯社，美国国防部长劳埃德·奥斯汀表示，俄罗斯将“成功入侵”所需要的兵力聚集到乌克兰边境，他并不认为入侵前景是“虚张声势”。美国广播公司（ABC）援引奥斯汀在接受采访时的话说：“这不是虚张声势……我认为他集合了正确的东西——你成功入侵所需要的东西。”#俄乌局势#
冒险的小小散,据俄罗斯卫星通讯社，美国总统拜登18日确认，如果乌克兰冲突升级，美国不会派兵到乌克兰作战。他在白宫就俄乌局势发表讲话说：“我们不会派遣自己的军队到乌克兰作战，但我们将继续支持乌克兰和乌克兰人民。”
大象军视,【拜登称普京决定入侵乌克兰，称基辅可能是目标】美国总统乔·拜登周五表示，俄罗斯总统弗拉基米尔·普京已决定入侵乌克兰，他继续散布虚假信息，试图为几天后可能发生的军事打击制造借口。拜登在华盛顿对记者说：“截至目前，我确信他已经做出了[入侵]的决定。”“我们有理由相信这一点，”他补充说，并引用了美国的情报评估。白宫表示，他是在与加拿大、法国、德国、意大利、波兰、罗马尼亚、英国、欧盟和北约领导人通电话后发表上述评论的。白宫宣读的电话会议显示，如果俄罗斯选择进一步冲突，领导人承诺将继续进行外交，同时准备对俄罗斯施加迅速、协调的经济代价。在顿涅茨克和另一个自称的地区卢甘斯克宣布撤离到俄罗斯之后，顿涅茨克的警报响起，妇女、儿童和老人先行。周五，在酝酿已久的乌克兰东部冲突区发生了一些消息人士所说的多年来最猛烈的炮火轰炸之后，撤离行动开始了。乌克兰政府和分裂分子互相指责。西方国家表示，他们认为从周四开始并在第二天加剧的炮击是普京政府为入侵乌克兰而制造的借口的一部分。随着全球市场的焦虑和欧洲陷入外交危机，俄罗斯本周表示已开始从乌克兰附近的边境撤军。但美国表示，它反而做了相反的事情：将威胁邻国的军队从1月底的100，000人增加到169，000至190，000人。#俄乌局势##俄乌局势持续紧张#
上海静安炒家,在俄乌边境的持续紧张局势下，美股周五延续跌势，持有以下个股被T的私心我，实时解答：超声电子航宇科技西子洁能争光股份唯赛勃牧高笛精达股份芯碁微装蓝海华腾大为股份腾景科技航民股份山东赫达德瑞锂电安集科技日发精机东富龙久远银海红星发展天岳先进-U罗曼股份股市今日看盘
股市战将妖哥,【#俄乌局势引发美股市场恐慌##Facebook母公司股价从峰值下跌45%#】近日，俄乌局势持续紧张加剧了美股投资者的恐慌情绪。当地时间周五，美股三大指数集体下跌，截止收盘，纳指跌1.23%，报13548.07点；标普500指数跌0.72%，报4348.87点；道指跌0.68%，报34079.18点。当天个股方面，英伟达跌超3%，特斯拉、波音跌逾2%。热门中概股多数下挫，哔哩哔哩、蔚来汽车、拼多多跌超6%，滴滴、百度跌逾5%。值得注意的是，美国社交媒体巨头Facebook的母公司Meta在周四的时候股价大跌4.08%，使其跌出了全球市值最大的前10家公司之列。本月早些时候，Meta曾单日暴跌26%，市值一天蒸发近2400亿美元，创下了美国历史上股票市场最大单日跌幅。本周五截至收盘Meta再跌0.75%至206.16美元，Meta股价较去年9月的峰值下跌了45%以上。L中国日报的微博视频
Lavender紫红绿,找个人来演乌克兰政府军人员太容易了，这个栽赃草率了
正宗南宁老友粉,假旗行动
在北国的橡树叶到动物园了,看样子为了这一刻已经准备了好久了
新新法家,"乱<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
数学哲学和暖风中国,对中国而言，他们打是好事，将西方精力牵制在俄乌，俄和西方的衰退对中国更是好事，我想着中国的贝加尔湖，库叶岛，但实际上日本韩国也一直在虎视眈眈
李清照的迷妹2021,02-1911:00拜登确认如冲突升级不会出兵乌克兰据俄罗斯卫星通讯社，美国总统拜登18日确认，如果乌克兰冲突升级，美国不会派兵到乌克兰作战。他在白宫就俄乌局势发表讲话说：“我们不会派遣自己的军队到乌克兰作战，但我们将继续支持乌克兰和乌克兰人民。”
四川魏静,#乌克兰东部地区发生交火#【乌东地区出现汽车爆炸，普京：乌东局势恶化，俄安全需求未获理会】#拜登称确信普京已决定进攻乌克兰#俄乌局势转趋紧张，美国总统拜登18日就乌克兰局势发表讲话，表示根据目前的情报，相信俄罗斯总统普京已经决定攻击乌克兰，入侵可能将在未来几天内发生。而乌克兰东部亲俄的顿涅茨克地区18日响起了民防警报，原因未明。一辆据报属于一个武装份子的车辆，在市中心一座政府大楼的停车场发生爆炸。当地民兵武装随后用巴士撤走民众，送往毗邻的俄罗斯暂避，首辆巴士已经抵达。俄总统普京称，乌东局势正在恶化，西方并没有认真看待俄方对自身安全的关切。（凤凰卫视）L凤凰卫视的微博视频#拜登称俄罗斯将在几天内入侵乌克兰##美国要求俄罗斯发布不入侵乌克兰声明#
油价ETFUSO,油价ETFUSO俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%，点击链接查看更多->O俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%
黄金ETF-iSharesIAU,黄金ETF-iSharesIAU俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%，点击链接查看更多->O俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%
金价ETFGLD,金价ETFGLD俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%，点击链接查看更多->O俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%
美股GDX,金矿指数ETF-MarketVectors美交所GDX俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%，点击链接查看更多->O俄乌局势左右市场，美元走强黄金连涨三周，油价回升逾3%
中国证券报,【避险情绪升温！美股连续两周下跌，国际金价震荡走高】俄乌紧张局势继续主导市场，并打压市场风险情绪。O避险情绪升温！美股连续两周下跌，国际金价震荡走高
qq糖老大,听说在我没回家的周二晚上餐桌上，这小孩她爸跟她聊俄乌局势，特别是指定日期的“侵略”没有发生的问题。这小孩说“那会不会某国是故意的呢？比如说妈妈特别生气要打我，姥姥如果说你别打，妈妈就会更生气就真打了。但是如果姥姥说打，妈妈肯定就不打了。”😓我只能说，这个思考有深度，但是例子不恰当。
新浪军事,【乌东地区出现汽车爆炸，普京：乌东局势恶化，俄安全需求未获理会】#拜登称确信普京已决定进攻乌克兰#俄乌局势转趋紧张，美国总统拜登18日就乌克兰局势发表讲话，表示根据目前的情报，相信俄罗斯总统普京已经决定攻击乌克兰，入侵可能将在未来几天内发生。而乌克兰东部亲俄的顿涅茨克地区18日响起了民防警报，原因未明。一辆据报属于一个武装份子的车辆，在市中心一座政府大楼的停车场发生爆炸。当地民兵武装随后用巴士撤走民众，送往毗邻的俄罗斯暂避，首辆巴士已经抵达。俄总统普京称，乌东局势正在恶化，西方并没有认真看待俄方对自身安全的关切。#乌克兰东部地区发生交火#@凤凰卫视L凤凰卫视的微博视频
busy上月,东营#俄乌局势#这是要打一仗的前奏？普大帝将#混合战争#的打法发挥到了淋漓尽致，手动点赞！
紫扬剑的微博,【布林肯联合国就乌俄局势发表“鲍威尔式发言”，外国网民：这集我看过】当地时间2月18日，俄乌边境局势依然紧张。在当天曝出乌克兰政府军向东部民间武装开火事件后，美国总统拜登依然宣称，普京已决定入侵乌克兰，“就在几天之内”。2月17日，美国国务卿布林肯在联合国安理会发表演讲，有意模仿前国务卿鲍威尔手拿“洗衣粉”作伪证时说过的“名言”，声称自己发言也是为阻止战争。有外国网民表示“这剧情我熟”。而像《纽约时报》、美联社等美国媒体也注意到了这点，称布林肯是在“影射”、“参考”、甚至“急于比较”鲍威尔。O布林肯联合国就乌俄局势发表“鲍威尔式发言”，外国网民：这集我看过
中国经营报,【#拜登称确信普京已决定进攻乌克兰#】当地时间18日，美国总统拜登在白宫就#乌克兰局势#发表讲话。就俄罗斯总统普京是否已决定“入侵”乌克兰，拜登说：“截至目前，我确信普京已经做出了这个决定。我们有理由这么认为。”他表示俄罗斯的“进攻”将会在接下来的几天或一周内发生，目标包括乌克兰首都基辅。此外，拜登还表示，“在普京这么做之前，外交解决的可能性一直都存在”。L中国日报的微博视频
币圈刘华强a,2月19日#比特币行情分析#复盘一下昨天：盘面还是很弱，40000这个支撑还在反复确认，昨晚几次跌破后都收回来，反弹的力度还是太弱，市场上的资金对于乌俄局势太过于敏感，导致行情短暂脱离技术面来看一下今天：进入周末，行情震荡的概率大，如果不能收回40630/4小时ma250均线所处的位置不看涨（点位会随时间变化而变化），早间空头回补，先看反弹，不宜激进追空，建议等待压力位附近时再考虑#以太坊超话#日内关键压力：41400-41700支撑：39600-39300个人观点，仅供参考#比特币行情分析#
币圈李威006,以太坊比特币以太坊空头是否抵达底部。如果布局。《汇市简讯》比特币和以太币劲扬，俄乌危机缓解风险资产普涨比特币周二上涨超过5%地缘政治忧虑缓解刺激风险资产回升以太币劲扬8.5%；乌克兰紧张局势缓和提振加密货币投资者等待俄罗斯本周公布加密资产的新法律预期俄罗斯可能允许加密货币交易的乐观情绪提振了比特币及以太币以太币自12月9日以来首次收于55日均线上方，下一个目标是3，500美元比特币日线级别，布林带缩口，价格在周二回调之后，连续下探，形成了底部支撑，短线上走势偏强，日内开盘小幅回调，但是突破前低之后，阻力变支撑，日内就需要关注41500这个位置能不能守住。4小时图来看，布林带缩口，价格在中轨附近连续震荡后迎来了下探虽然目前暂时回调，依托今日回调的40000的支撑继续干多看涨！上方最近的压力就是前高40700-41500位置，突破后将放量上攻。#比特币超话##币圈#
近卫步兵师,网传德军将派6辆PzH2000型155毫米自行火炮到立陶宛来加强北约东部的军事力量，并把立陶宛的驻军从550人提到到900人。但看样子照片只是之前的而已。这也是向俄乌对峙施加压力吗？#俄乌局势##军事#
大象军视,【目击者：天空新闻斯图尔特拉姆齐亲临乌克兰东部冲突前沿亲历】#俄乌局势#乌克兰-俄罗斯危机：随着与分离主义者的敌对行动加剧，前线炮击加剧在过去的两天里，波帕斯内附近的前线一直很活跃——在几个月的交火之后，战斗变得更加激烈。现在，在双方阵地之间，沿着300英里的分界线，火箭和迫击炮的齐射时间很长。即使我们到达距离前线大约四公里的指挥部，我们仍能听到乌克兰军方发射火箭的声音，他们坚称这是对俄罗斯支持的分裂分子来袭的火力的回应。在过去的两天里，波帕斯内附近的前线一直很活跃——在几个月的交火之后，战斗变得更加激烈。现在，在双方阵地之间，沿着300英里的分界线，火箭和迫击炮的齐射时间很长。乌克兰防御阵地我们被告知在战斗的激烈程度平息之前我们不能前进。几个小时后，我们被带到了前线。透过薄雾，我们可以看到第一个乌克兰阵地出现，守卫着通往乌克兰分离主义控制部分的主要道路。新鲜的碎片散落在路上，士兵们在他们受保护的掩体外碾磨，从不走远。他们说，两天来，他们面临着一连串的火势。薄雾增加了不祥的感觉。这感觉就像一个可怕的地方-一个10英尺长的木制十字架俯瞰着乌克兰的阵地，周围环绕着扭曲的金属和带有罐子标记的混凝土标志，欢迎游客来到附近的城镇，多年来的战斗遭到破坏。这里出奇地安静，士兵们不喜欢它。“这有点吓人，因为当它安静下来时，意味着他们正在为更大规模的战斗做好准备，”24岁的柳博米尔·奇普科(LyubomyrChipko)在他的防守位置告诉我。火箭碎片位于被刺破的停机坪上的洞旁边。他告诉我，分离主义者第一次瞄准了他们的路障。士兵们担心这种策略是地面入侵的前兆。我们在前线战壕的泥雪中前进，到达离分离主义阵地最近的地点。一些战壕内衬有木板，以防止战壕墙倒塌。每次访问，每一天，现在感觉更像是第一次世界大战。在前线，值班士兵时刻监视着敌人的战线。有时他们会听其他位置的射击，试图识别来袭子弹的口径。在这漫长的战场上，士兵们都一致认为事情正在升温，现在情况不同了。一切都更加激烈。“炮击比以前多得多。大概两个月以来一直平静，但从昨天开始，猛烈的炮击就开始了。他们昨天使用了大口径迫击炮，”这里值班的士兵佩特罗·萨维利安告诉我。不远处，其他士兵在他们受保护的掩体中等待轮到他们再次在战壕中担任警卫任务。但掩体是火箭落下时他们撤退的地方，最近几天他们在这里度过了很多时间。
dongfang5816,【布林肯联合国就乌俄局势发表“鲍威尔式发言”，外国网民：这集我看过】2月17日，美国国务卿布林肯在联合国发表演讲，有意模仿前国务卿鲍威尔手拿“洗衣粉”作伪证时说过的“名言”，声称自己发言也是为阻止战争。有外国网民表示“这剧情我熟”。而像美联社、《纽约时报》等美国媒体也注意到了这点，称布林肯是在“影射”、“参考”、甚至“急于比较”鲍威尔。-观察者网O布林肯联合国就乌俄局势发表“鲍威尔式发言”，外国网民：这集我看过
七环视频,【#乌克兰局势#丨解读：和谈各方屡提的《新明斯克协议》是出路吗？】在近期的俄乌危机中，随着各国领导人呼吁透过外交途径解决俄乌之间紧张的对峙局势，和谈各方及相关报道不时提到于2015年签订的《新明斯克协议》。#乌克兰东部地区发生交火#O俄乌危机丨解读：和谈各方屡提的《新明斯克协议》是出路吗？L七环视频的微博视频
A硬哥,币圈区块链#牛市#恭喜🎉昨天跟上的40位➕的小伙伴们，比特币1300点翻倍利润，以太坊50点翻倍利润，全👋。不骄不躁继续努力💪，周末行情震荡为主，也是小伙伴们捡钱的好时机，但是我还是不去太多操作，翻仓的兄弟们，用利润去翻滚。周末行情分析：俄乌局势已成定局，乌克兰还是强硬，果然光脚不怕穿鞋，说开炮就开炮。晚间防止狗庄插针，白天可能小反弹修复，继续看好这周下垂，以太坊看2650~2630，比特币反弹40200~40400附近继续做空，40800加仓，止损41200，止赢39800~39000~38500~38000以太坊2820~2840附近做空，2860加仓，止损2890，止赢2760~2720~2680~2640周末等待财富密码，🉑️提前布局下周，更多内幕，不要错过
用户3845866513,气氛紧张，马克龙发现普京异常！局势脱离掌控，美不敢相信图注：马克龙与普京近日，在接连与普京和泽连斯基会谈后，马克龙对外表示，俄乌局势正在向好的方向...[米尔观察]O气氛紧张，马克龙发现普京异常！局势脱离掌控，美不敢相信
